Date,Basin,Site,Access_Point,Species ,Length_mm,Mass_g,Method,Notes,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,280,251.1,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,178,61.9,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,220,116.1,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,210,124.6,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,290,227.5,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",RBT,145,39.4,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,143,35.7,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,210,102,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,105,13.3,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,50,2.5,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,35,1,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,91,8.2,Spot Shock,,,,,
7/2/24,Big Hole ,Moose,"45.70042, -112.73319",BRN,400,664,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,75,5.4,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",BRK,135,29.4,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",BRK,171,57.5,Spot Shock,,,,,F
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,85,7.7,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,59,2.5,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,83,7.1,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",BRN,90,9.2,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",BRN,114,16.1,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",BRK,114,18.5,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,90,10.3,Spot Shock,mort ,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,58,3,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,95,12.5,Spot Shock,,,,,
7/2/24,Big Hole ,Canyon,"45.70397, -112.74952",RBT,135,32,Spot Shock,,,,,
