Species ,Waterbody,Date Collected,Year,Sample Number,ID,Head or Whole,Length_mm,Mass_g,Location,Collection Method,Sex,Fin Clip Collected?,Tissue Collected?,Stomach?,Otolith Collected?,,,,,,
BRN,BH,4/18/24,24,1,BRN.BH.24.1,Head,457,907,,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,2,BRN.BH.24.2,Head,353,471,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,3,BRN.BH.24.3,Head,360,462,Stop 2,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,4,BRN.BH.24.4,Head,210,63,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,5,BRN.BH.24.5,Whole,238,135,"Stop 3 (45.230354, -112.63836)",Spring Electro,F,Y,Y,Y,Y,,,,,,
BRN,BH,4/18/24,24,6,BRN.BH.24.6,Whole,356,415,"Stop 3 (45.230354, -112.63836)",Spring Electro,F,Y,Y,Y,Y,,,,,,
BRN,BH,4/18/24,24,7,BRN.BH.24.7,Head,510,1183,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,8,BRN.BH.24.8,Head,515,1274,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,4/18/24,24,9,BRN.BH.24.9,Head,533,1551,Stop 1,Spring Electro,U,Y,Y,N,Y,,,,,,
BRN,BH,7/8/24,24,10,BRN.BH.24.10,Whole,275,240.4,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,11,BRN.BH.24.11,Whole,242,162,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,12,BRN.BH.24.12,Whole,250,186,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,13,BRN.BH.24.13,Whole,240,159.1,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,14,BRN.BH.24.14,Whole,245,179,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,15,BRN.BH.24.15,Whole,220,119.9,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,16,BRN.BH.24.16,Whole,258,195,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,17,BRN.BH.24.17,Whole,225,112.6,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,18,BRN.BH.24.18,Whole,250,182,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,19,BRN.BH.24.19,Whole,250,168.6,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,20,BRN.BH.24.20,Whole ,240,187.5,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,21,BRN.BH.24.21,Whole ,220,134.5,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,22,BRN.BH.24.22,Whole ,275,242.6,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,23,BRN.BH.24.23,Whole ,255,187,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,24,BRN.BH.24.24,Whole ,230,144.4,U.Maid-Salmon,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,25,BRN.BH.24.25,Whole ,165,60.7,Lower.Maiden,Angling,U,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,26,BRN.BH.24.26,Whole ,190,84.6,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,27,BRN.BH.24.27,Whole ,240,142.8,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,28,BRN.BH.24.28,Whole ,245,173.3,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,29,BRN.BH.24.29,Whole ,255,195,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,30,BRN.BH.24.30,Whole ,260,205,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,31,BRN.BH.24.31,Whole ,240,151.7,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,32,BRN.BH.24.32,Whole ,260,224.7,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/8/24,24,33,BRN.BH.24.33,Whole ,235,162.1,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,34,BRN.BH.24.34,Whole ,191,101.5,U.Maid-Salmon,Angling,U,Y,Y,Y,Y,Frozen when measured ,,,,,
BRN,BH,7/9/24,24,35,BRN.BH.24.35,Whole ,249,185.4,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,Frozen when measured ,,,,,
BRN,BH,7/9/24,24,36,BRN.BH.24.36,Whole ,320,393.2,U.Maid-Salmon,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/10/24,24,37,BRN.BH.24.37,Whole ,319,365.5,Salmon- Brownes,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/10/24,24,38,BRN.BH.24.38,Whole ,275,247.6,Salmon- Brownes,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,39,BRN.BH.24.39,Whole ,278,245.2,Glen- Tony,Angling,F,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,40,BRN.BH.24.40,Whole ,302,305.5,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,41,BRN.BH.24.41,Whole ,328,398,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,42,BRN.BH.24.42,Whole ,298,294.4,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,43,BRN.BH.24.43,Whole ,310,380.4,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
BRN,BH,7/9/24,24,44,BRN.BH.24.44,Whole ,214,111.7,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
