Date,Basin,Site,Access_Point,Reach Length_mm,Species ,Length_mm,Mass_g,Pass,Recap,Notes,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,125,22.1,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,54,1.5,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,59,2.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,183,74.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,75,4.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,58,1.7,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,50,1.3,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,73,4.1,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,66,3.2,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,64,3.5,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,56,2.2,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,59,2.1,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,61,2.6,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,65,3,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,89,7,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,49,1.1,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,70,3.7,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,73,4.5,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,74,4.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,54,1.7,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,49,2.5,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,63,2.3,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,58,2,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,78,5.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,BRN,73,3.7,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,57,2,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,66,3.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,61,2.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,70,3.8,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,52,1.4,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,49,1,1,,,
10/10/24,Big Hole,Jerry Creek,"45.78493, -112.91422",230,RBT,46,2,1,,,
