Species ,Waterbody,Date Collected,Year ,Sample Number,ID,Head or Whole,Length_mm,Mass_g,Location ,Sex,Fin Clip Collected?,Tissue Collected?,Stomach?,Otolith Collected?
BRN,RB,4/17/24,24,1,BRN.RB.24.1,Head,362,N/A,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,2,BRN.RB.24.2,Head,296,235,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,3,BRN.RB.24.3,Whole,134,20,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,Y,Y
BRN,RB,4/17/24,24,4,BRN.RB.24.4,Head,179,55,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,5,BRN.RB.24.5,Head,146,30,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,6,BRN.RB.24.6,Head,176,55,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,7,BRN.RB.24.7,Head,338,395,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,8,BRN.RB.24.8,Head,316,305,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,9,BRN.RB.24.9,Head,332,340,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,10,BRN.RB.24.10,Head,300,265,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,11,BRN.RB.24.11,Head,277,205,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,12,BRN.RB.24.12,Head,339,360,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,13,BRN.RB.24.13,Head,247,140,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,14,BRN.RB.24.14,Head,484,915,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,15,BRN.RB.24.15,Head,404,540,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,16,BRN.RB.24.16,Head,320,330,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,17,BRN.RB.24.17,Head,440,730,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,18,BRN.RB.24.18,Head,398,610,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,19,BRN.RB.24.19,Head,410,620,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,20,BRN.RB.24.20,Head,422,720,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,21,BRN.RB.24.21,Head,422,560,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,22,BRN.RB.24.22,Head,376,465,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,23,BRN.RB.24.23,Head,390,540,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,24,BRN.RB.24.24,Head,370,500,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,25,BRN.RB.24.25,Head,480,955,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,26,BRN.RB.24.26,Head,476,1020,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,RB,4/17/24,24,27,BRN.RB.24.27,Head,429,685,"Start: (45.43387, -112.25721) End: (45.44488, -112.27897)",U,Y,Y,N,Y
BRN,Mill,8/19/24,24,1,BRN.Mill.24.1,Whole,298,344.2,Mill Creek,F,Y,Y,Y,Y
BRN,RB,4/21/20,20,1,BRN.RB.20.1,Just Otos,110,,Vigilante Section,,,,,
BRN,RB,4/21/20,20,2,BRN.RB.20.2,Just Otos,120,,Vigilante Section,,,,,
BRN,RB,4/21/20,20,3,BRN.RB.20.3,Just Otos,119,,Vigilante Section,,,,,
BRN,RB,4/21/20,20,4,BRN.RB.20.4,Just Otos,115,,Vigilante Section,,,,,
