Basin,Site,Date,Reader,Reader_Initials,Reach_Distance,Reach_Increment_km,Redds_by_increment,Total_redds,Active_Spawners
BH,Cherry,11/14/24,1,NH,200,0-200,0,0,0
BH,Cherry,11/14/24,1,NH,400,200-400,1,1,2
BH,Cherry,11/14/24,1,NH,600,400-600,0,1,0
BH,Cherry,11/14/24,1,NH,800,600-800,9,10,4
BH,Cherry,11/14/24,1,NH,1000,800-1000,1,11,0
BH,Cherry,11/14/24,1,NH,1200,1000-1200,0,11,0
BH,Cherry,11/14/24,1,NH,1400,1200-1400,0,11,0
BH,Cherry,11/14/24,1,NH,1600,1400-1600,1,12,0
BH,Cherry,11/14/24,1,NH,1800,1600-1800,1,13,0
BH,Cherry,11/14/24,1,NH,2000,1800-2000,6,19,0
BH,Cherry,11/14/24,2,BW,200,0-200,0,0,0
BH,Cherry,11/14/24,2,BW,400,200-400,1,1,2
BH,Cherry,11/14/24,2,BW,600,400-600,0,1,0
BH,Cherry,11/14/24,2,BW,800,600-800,9,10,4
BH,Cherry,11/14/24,2,BW,1000,800-1000,1,11,0
BH,Cherry,11/14/24,2,BW,1200,1000-1200,0,11,0
BH,Cherry,11/14/24,2,BW,1400,1200-1400,0,11,0
BH,Cherry,11/14/24,2,BW,1600,1400-1600,1,12,0
BH,Cherry,11/14/24,2,BW,1800,1600-1800,1,13,0
BH,Cherry,11/14/24,2,BW,2000,1800-2000,6,19,0
BH,Trapper,11/14/24,1,NH,200,0-200,3,3,0
BH,Trapper,11/14/24,1,NH,400,200-400,2,5,0
BH,Trapper,11/14/24,1,NH,600,400-600,0,5,0
BH,Trapper,11/14/24,1,NH,800,600-800,5,10,0
BH,Trapper,11/14/24,1,NH,1000,800-1000,3,13,1
BH,Trapper,11/14/24,1,NH,1200,1000-1200,7,20,1
BH,Trapper,11/14/24,1,NH,1400,1200-1400,3,23,1
BH,Trapper,11/14/24,1,NH,1600,1400-1600,6,29,0
BH,Trapper,11/14/24,1,NH,1800,1600-1800,5,34,0
BH,Trapper,11/14/24,2,BW,200,0-200,3,3,0
BH,Trapper,11/14/24,2,BW,400,200-400,2,5,0
BH,Trapper,11/14/24,2,BW,600,400-600,0,5,0
BH,Trapper,11/14/24,2,BW,800,600-800,3,8,0
BH,Trapper,11/14/24,2,BW,1000,800-1000,3,12,1
BH,Trapper,11/14/24,2,BW,1200,1000-1200,7,19,1
BH,Trapper,11/14/24,2,BW,1400,1200-1400,4,23,1
BH,Trapper,11/14/24,2,BW,1600,1400-1600,6,29,0
BH,Trapper,11/14/24,2,BW,1800,1600-1800,4,33,0
BH,Canyon,11/14/24,1,NH,200,0-200,0,0,0
BH,Canyon,11/14/24,1,NH,400,200-400,0,0,0
BH,Canyon,11/14/24,1,NH,600,400-600,0,0,0
BH,Canyon,11/14/24,1,NH,800,600-800,3,3,0
BH,Canyon,11/14/24,1,NH,1000,800-1000,0,3,0
BH,Canyon,11/14/24,1,NH,1200,1000-1200,0,3,0
BH,Canyon,11/14/24,1,NH,1400,1200-1400,2,5,0
BH,Canyon,11/14/24,1,NH,1600,1400-1600,0,5,0
BH,Canyon,11/14/24,1,NH,1800,1600-1800,1,6,0
BH,Canyon,11/14/24,1,NH,2000,1800-2000,3,9,3
BH,Canyon,11/14/24,2,BW,200,0-200,0,0,0
BH,Canyon,11/14/24,2,BW,400,200-400,0,0,0
BH,Canyon,11/14/24,2,BW,600,400-600,0,0,0
BH,Canyon,11/14/24,2,BW,800,600-800,3,3,0
BH,Canyon,11/14/24,2,BW,1000,800-1000,0,3,0
BH,Canyon,11/14/24,2,BW,1200,1000-1200,0,3,0
BH,Canyon,11/14/24,2,BW,1400,1200-1400,2,5,0
BH,Canyon,11/14/24,2,BW,1600,1400-1600,0,5,0
BH,Canyon,11/14/24,2,BW,1800,1600-1800,1,6,0
BH,Canyon,11/14/24,2,BW,2000,1800-2000,3,9,3
BH,Moose,11/15/24,1,NH,200,0-200,3,3,0
BH,Moose,11/15/24,1,NH,400,200-400,7,10,1
BH,Moose,11/15/24,1,NH,600,400-600,4,14,1
BH,Moose,11/15/24,1,NH,800,600-800,4,18,3
BH,Moose,11/15/24,1,NH,1000,800-1000,4,22,0
BH,Moose,11/15/24,1,NH,1200,1000-1200,4,26,0
BH,Moose,11/15/24,1,NH,1400,1200-1400,0,26,0
BH,Moose,11/15/24,1,NH,1600,1400-1600,8,34,0
BH,Moose,11/15/24,1,NH,1800,1600-1800,0,34,0
BH,Moose,11/15/24,1,NH,2000,1800-2000,3,37,0
BH,Moose,11/15/24,2,BW,200,0-200,2,2,0
BH,Moose,11/15/24,2,BW,400,200-400,7,9,1
BH,Moose,11/15/24,2,BW,600,400-600,4,13,1
BH,Moose,11/15/24,2,BW,800,600-800,3,16,3
BH,Moose,11/15/24,2,BW,1000,800-1000,5,21,0
BH,Moose,11/15/24,2,BW,1200,1000-1200,6,27,0
BH,Moose,11/15/24,2,BW,1400,1200-1400,0,27,0
BH,Moose,11/15/24,2,BW,1600,1400-1600,8,35,0
BH,Moose,11/15/24,2,BW,1800,1600-1800,0,35,0
BH,Moose,11/15/24,2,BW,2000,1800-2000,4,39,0
BH,Deep,11/15/24,1,NH,200,0-200,5,5,1
BH,Deep,11/15/24,1,NH,400,200-400,7,12,0
